h3_polyfill,Trees,Habitats,Livestock production,Crop production,All food production,geometry_wkt
861951377ffffff,3 - high,2 - medium,3 - high,2 - medium,3 - high,"POLYGON ((356487.4535820741 369982.5302578765, 353205.68028142094 369011.80477619317, 352667.6398073471 365539.67461126595, 355412.6633332581 363038.943978242, 358694.3998362992 364011.20249128056, 359231.1503055349 367482.65888839576, 356487.4535820741 369982.5302578765))"
86195d877ffffff,2 - medium,2 - medium,1 - low,3 - high,3 - high,"POLYGON ((508024.56314470054 239815.38793095335, 504787.85025914176 238817.3348852034, 504278.8911248641 235331.97986967157, 507007.8401715623 232845.39503417636, 510244.44700057415 233844.94227202277, 510752.211508614 237329.5804790858, 508024.56314470054 239815.38793095335))"
86195d66fffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((463537.960338295 169228.8878933604, 460272.753041501 168209.23911207507, 459752.63907230936 164692.4548959434, 462498.9126928901 162196.0695892679, 465763.98679267225 163217.2116482695, 466282.92114234425 166733.2460920001, 463537.960338295 169228.8878933604))"
861955a9fffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((387649.5948666223 490959.16312701977, 384399.50449075503 490023.7599290197, 383871.17048925953 486600.74323419295, 386594.25244303537 484113.7496621645, 389844.3546867387 485050.6881978555, 390371.3637983794 488473.08520127414, 387649.5948666223 490959.16312701977))"
861943d8fffffff,2 - medium,2 - medium,1 - low,3 - high,3 - high,"POLYGON ((486863.6814338028 369108.66549654346, 483636.76447851514 368144.76914066874, 483127.2442146304 364698.35847955424, 485845.8915928413 362216.50878363976, 489072.7586434148 363181.91528524295, 489581.0288955246 366627.66161373246, 486863.6814338028 369108.66549654346))"
8619588afffffff,3 - high,3 - high,3 - high,2 - medium,2 - medium,"POLYGON ((379438.679536876 233699.71497600747, 376146.9704219277 232692.80119419267, 375611.0545137402 229179.62327753165, 378368.07834572863 226674.08929519355, 381659.68859541795 227682.5187489789, 382194.37456695497 231194.96684840642, 379438.679536876 233699.71497600747))"
86195c35fffffff,2 - medium,3 - high,2 - medium,3 - high,2 - medium,"POLYGON ((427987.2201791279 265221.76649239333, 424720.2577495874 264226.1618670427, 424195.23554149753 260733.0207073277, 426938.40468174434 258236.19712166348, 430205.2782042669 259233.3125143547, 430729.07217568933 262725.7410455824, 427987.2201791279 265221.76649239333))"
861946297ffffff,2 - medium,3 - high,2 - medium,2 - medium,2 - medium,"POLYGON ((468730.73330817936 475216.7499307658, 465512.4844833532 474281.23357561626, 465002.1609337132 470868.5979608883, 467711.38076211093 468392.0996834234, 470929.62557272677 469329.1362682829, 471438.6552469929 472741.1511372592, 468730.73330817936 475216.7499307658))"
861955397ffffff,1 - low,2 - medium,3 - high,1 - low,2 - medium,"POLYGON ((364334.1595704998 480973.32059815736, 361072.67827967426 480033.8979213586, 360538.7884110588 476602.63208681124, 363267.7091165431 474111.41477605246, 366529.20075124496 475052.3764216893, 367061.7620296283 478483.0166474723, 364334.1595704998 480973.32059815736))"
86195bc6fffffff,2 - medium,2 - medium,3 - high,2 - medium,3 - high,"POLYGON ((325098.95462568663 126004.12409524477, 321770.3506518302 124964.90813249093, 321221.4341014609 121406.77543873558, 324002.32302900124 118888.63869245004, 327330.7833812871 119929.36567877213, 327878.4991201307 123486.71876904496, 325098.95462568663 126004.12409524477))"
