h3_polyfill,Trees,Habitats,Livestock production,Crop production,All food production,geometry_wkt
861941017ffffff,2 - medium,2 - medium,1 - low,3 - high,3 - high,"POLYGON ((613149.0919578694 331532.8177261564, 609970.6293788329 330565.520650231, 609487.1004223719 327131.5529753103, 612183.2319819576 324665.55314038316, 615361.6178188922 325634.335362616, 615843.9494934297 329067.63255866116, 613149.0919578694 331532.8177261564))"
86194ac27ffffff,1 - low,1 - low,1 - low,1 - low,1 - low,"POLYGON ((534691.2094647057 168075.06105872965, 531455.9466062969 167059.14904456958, 530950.2171537238 163556.35360492975, 533680.9097879749 161070.21479225947, 536916.0343817816 162087.6077988584, 537420.6052683359 165589.65897770808, 534691.2094647057 168075.06105872965))"
86195c7afffffff,3 - high,2 - medium,3 - high,3 - high,3 - high,"POLYGON ((369344.75866232824 290762.9504753689, 366056.8316069759 289771.08761404536, 365519.9521883285 286274.6378932278, 368272.2560823298 283770.757855931, 371560.1103434536 284764.144315983, 372095.7341963328 288259.88752780715, 369344.75866232824 290762.9504753689))"
86195b46fffffff,2 - medium,2 - medium,3 - high,2 - medium,2 - medium,"POLYGON ((297892.80846291373 93745.87848247425, 294548.9171948299 92696.39997507088, 293994.15827274276 89122.93274369341, 296784.4857597392 86599.73987990839, 300128.2201632551 87650.72925715987, 300681.7846392961 91223.40102415415, 297892.80846291373 93745.87848247425))"
86195d4d7ffffff,2 - medium,2 - medium,2 - medium,3 - high,2 - medium,"POLYGON ((420102.03522460343 212708.61366065562, 416824.4600668908 211698.27099736343, 416296.52933044924 208186.5063579763, 419047.38413860725 205685.82001542742, 422324.84809580265 206697.6688579293, 422851.5691271115 210208.69820504426, 420102.03522460343 212708.61366065562))"
861946227ffffff,2 - medium,2 - medium,2 - medium,3 - high,3 - high,"POLYGON ((493918.5908247085 479281.5523272576, 490711.7229435318 478348.496307926, 490207.2311754247 474942.324387303, 492910.89529929415 472469.82597854675, 496117.75800056907 473404.39800132473, 496620.9624319448 476809.9526632223, 493918.5908247085 479281.5523272576))"
861943a2fffffff,1 - low,1 - low,1 - low,3 - high,3 - high,"POLYGON ((557918.9774729687 308128.99261471786, 554713.3304978606 307152.2827455783, 554217.1287028937 303699.4053590351, 556927.7801797687 301223.92258435563, 560133.3456106646 302202.12503556535, 560628.3417721239 305654.31797623646, 557918.9774729687 308128.99261471786))"
86195b58fffffff,3 - high,2 - medium,3 - high,1 - low,3 - high,"POLYGON ((272778.36285591894 116462.4165518395, 269427.0300184791 115417.61849154401, 268867.5277728243 111845.98463559902, 271660.570208319 109319.93738932698, 275011.7582839479 110366.25404994088, 275570.0493857657 113937.09974485778, 272778.36285591894 116462.4165518395))"
8619594e7ffffff,2 - medium,2 - medium,3 - high,3 - high,3 - high,"POLYGON ((392071.8059509923 109792.60578682096, 388768.88604633906 108752.874836414, 388233.05085268506 105203.32246331917, 391001.31156549754 102694.28194555832, 394304.07643922453 103735.51011151215, 394838.73631266656 107284.28196309356, 392071.8059509923 109792.60578682096))"
86194131fffffff,2 - medium,2 - medium,2 - medium,3 - high,3 - high,"POLYGON ((635954.8843502862 299044.0879996144, 632781.4603016303 298069.2138611, 632301.4742944548 294628.9511682766, 634996.091352851 292164.24505869497, 638169.4237741807 293140.59749049967, 638648.231415278 296580.1780350251, 635954.8843502862 299044.0879996144))"
86195dadfffffff,1 - low,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((506358.3359209522 185944.45920573658, 503113.4732706592 184931.74678815395, 502602.54064697627 181428.84440484463, 505337.64526588295 178939.39405482495, 508582.3790862749 179953.5945714594, 509092.1377851965 183455.7576858321, 506358.3359209522 185944.45920573658))"
861874157ffffff,3 - high,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((220643.09070832215 89979.94030255656, 217267.18533767198 88924.98137895318, 216697.11100781953 85334.74076628758, 219504.15648035752 82800.26337044273, 222879.90777697993 83856.7458110491, 223448.7683813134 87446.18253287463, 220643.09070832215 89979.94030255656))"
861948487ffffff,2 - medium,1 - low,2 - medium,2 - medium,2 - medium,"POLYGON ((598604.9831100146 141473.656281629, 595393.3935320273 140454.2700808273, 594899.5997184169 136956.13872163687, 597618.5255526637 134478.14365585646, 600829.9618849264 135498.99649469616, 601322.626279836 138996.37811967073, 598604.9831100146 141473.656281629))"
86195b017ffffff,3 - high,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((317924.5616090258 100032.77336025657, 314589.69820484193 98986.14386213283, 314038.9861846291 95418.63286290309, 316824.32993943203 92898.54282852987, 320159.03821497725 93946.68073248366, 320708.5585566476 97513.40065699277, 317924.5616090258 100032.77336025657))"
86195d29fffffff,2 - medium,3 - high,2 - medium,2 - medium,2 - medium,"POLYGON ((469545.795190994 167752.95100067405, 466282.92114234425 166733.2460920001, 465763.98679267225 163217.2116482695, 468509.10445657786 160721.6323463354, 471771.844275597 161742.82931343917, 472289.60133281257 165258.11388003436, 469545.795190994 167752.95100067405))"
861958957ffffff,2 - medium,2 - medium,2 - medium,3 - high,3 - high,"POLYGON ((399157.1580668069 239731.57540397428, 395874.52825338114 238727.40953290125, 395342.8584746215 235220.1512626675, 398095.0458112512 232717.78486710624, 401377.5778835557 233723.46369020158, 401908.02104613977 237229.99628863885, 399157.1580668069 239731.57540397428))"
861951b07ffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((374932.0851908259 408460.7075027198, 371663.8247908132 407501.645621936, 371130.6859647953 404046.603066686, 373867.1070928642 401551.2785994061, 377135.34552542516 402511.8731656689, 377667.1854892841 405966.25978008466, 374932.0851908259 408460.7075027198))"
861942a5fffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((486181.1156348755 385357.48189302173, 482956.36090308166 384398.02275167964, 482447.1878808458 380957.0879374083, 485164.0264574911 378476.2700677033, 488388.73812340735 379437.2407171689, 488896.65495382587 382877.51799865346, 486181.1156348755 385357.48189302173))"
8619466afffffff,3 - high,1 - low,3 - high,3 - high,3 - high,"POLYGON ((439062.43959169125 482929.34257278347, 435832.8104878039 481994.4066383274, 435315.98139798443 478578.67090378783, 438030.08802609146 476098.4908779232, 441259.71967491065 477034.9526641114, 441775.2428328353 480450.0688589701, 439062.43959169125 482929.34257278347))"
861973007ffffff,3 - high,2 - medium,2 - medium,2 - medium,1 - low,"POLYGON ((402759.92276242067 608970.9281230296, 399535.52309259056 608069.4350496744, 399013.7580923252 604693.3509158639, 401717.7540470486 602219.3280619443, 404942.21285666095 603122.3577141749, 405462.6172565397 606497.8738285268, 402759.92276242067 608970.9281230296))"
86194a84fffffff,2 - medium,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((585253.7355480408 133892.3557407438, 582035.4276918985 132870.1807005176, 581538.6970991341 129367.02676300958, 584261.4052982472 126886.80218317476, 587479.5575058513 127910.4450883978, 587975.1578157931 131412.84507054658, 585253.7355480408 133892.3557407438))"
86195c0afffffff,2 - medium,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((390634.84302382264 307165.5745185027, 387358.1760381509 306179.3897609058, 386826.19903840567 302692.6893865921, 389572.145379732 300192.87195679976, 392848.7448969666 301180.578220442, 393379.4662299734 304666.58071345533, 390634.84302382264 307165.5745185027))"
861951aafffffff,1 - low,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((359707.2504755706 390781.86960311467, 356429.93440848775 389817.0823091098, 355893.0354761359 386352.8168571147, 358634.7501945 383854.00360383623, 361912.0382126498 384820.32497997495, 362447.64025548636 388283.92580127646, 359707.2504755706 390781.86960311467))"
8619433afffffff,1 - low,3 - high,1 - low,3 - high,3 - high,"POLYGON ((521566.5784273973 290434.3826485015, 518342.8339180184 289450.8439492202, 517838.3112815553 285984.7937865769, 520558.7438355744 283502.97728264326, 523782.4024994852 284488.0131485606, 524285.7151232963 287953.3686572729, 521566.5784273973 290434.3826485015))"
86195c09fffffff,3 - high,3 - high,2 - medium,3 - high,3 - high,"POLYGON ((380800.295954901 304205.6661888022, 377519.08297357336 303218.12685208686, 376984.9337133521 299728.4644880736, 379733.25556101627 297227.04167424294, 383014.4006527986 298216.10394477093, 383547.29247653915 301705.0664026016, 380800.295954901 304205.6661888022))"
8619519a7ffffff,1 - low,3 - high,3 - high,1 - low,3 - high,"POLYGON ((347521.7244265449 453145.13447096385, 344248.83594213065 452197.04833647143, 343710.5234466501 448752.41356547, 346446.42384501826 446256.50394356577, 349719.31263802655 447206.1304880098, 350256.30141981744 450650.12649426935, 347521.7244265449 453145.13447096385))"
861959547ffffff,2 - medium,3 - high,2 - medium,3 - high,3 - high,"POLYGON ((409626.7864752677 122067.97363820666, 406332.76409088256 121032.55007062305, 405800.67637043656 117490.28987988221, 408563.7872717413 114984.22754602198, 411857.65908057825 116021.14712496105, 412388.57124320994 119562.63340388786, 409626.7864752677 122067.97363820666))"
861942adfffffff,2 - medium,1 - low,1 - low,2 - medium,2 - medium,"POLYGON ((470554.0807764805 383999.34166075283, 467322.4795118808 383038.66346511804, 466809.83460666053 379594.14122430905, 469530.052154531 377110.9567182784, 472761.6113233137 378073.1490502788, 473272.99571765837 381517.01202360675, 470554.0807764805 383999.34166075283))"
861951817ffffff,2 - medium,2 - medium,3 - high,1 - low,3 - high,"POLYGON ((348107.1801813245 436866.1142904421, 344832.01990802895 435913.5187867936, 344293.49927193124 432463.1848809398, 347031.457169668 429966.0924553742, 350306.6106418102 430920.22727125883, 350843.8137131334 434369.9154567586, 348107.1801813245 436866.1142904421))"
8619434dfffffff,1 - low,1 - low,2 - medium,2 - medium,1 - low,"POLYGON ((459759.4635131627 311414.7644510454, 456512.5224670965 310433.5486065405, 455995.4616484062 306962.1139320204, 458726.57917534775 304472.58609812375, 461973.44848081266 305455.3118281595, 462489.2726782692 308926.05580703553, 459759.4635131627 311414.7644510454))"
86195c327ffffff,3 - high,3 - high,2 - medium,2 - medium,2 - medium,"POLYGON ((425126.41634644935 287653.8012578107, 421861.4372947909 286664.16952239804, 421336.36397998745 283177.8652446423, 424077.5082373382 280681.89642871846, 427342.40833902714 281673.0417504014, 427866.2438164274 285158.6426132849, 425126.41634644935 287653.8012578107))"
8618743a7ffffff,3 - high,2 - medium,3 - high,2 - medium,2 - medium,"POLYGON ((219463.9645036939 62295.022318359755, 216084.19636733772 61232.531320821116, 215513.74794657412 57633.74154124971, 218324.27011499708 55098.258793443674, 221703.87102183103 56162.269081564795, 222273.1176945932 59760.24324051224, 219463.9645036939 62295.022318359755))"
86195b56fffffff,3 - high,2 - medium,3 - high,1 - low,3 - high,"POLYGON ((303447.2939234876 109068.85740169272, 300107.6126696766 108023.8277770592, 299554.1429315179 104456.13555986603, 302341.5546847276 101934.26193022294, 305681.0858494701 102980.80379659522, 306233.3560449992 106547.70744021886, 303447.2939234876 109068.85740169272))"
8619416dfffffff,1 - low,1 - low,1 - low,2 - medium,1 - low,"POLYGON ((584507.8330893893 279938.4881122832, 581309.4803050606 278955.58169625956, 580817.8914902059 275498.6859804482, 583525.843114983 273025.39105095575, 586724.1006409656 274009.78274982463, 587214.5024589567 277465.98440165585, 584507.8330893893 279938.4881122832))"
8619738f7ffffff,3 - high,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((421441.0491468755 630302.4085633309, 418228.1844469285 629407.8806189492, 417711.4565387677 626043.629492195, 420408.9555830612 623574.4641701442, 423621.88558749144 624470.52568519, 424137.2519245833 627834.2191299581, 421441.0491468755 630302.4085633309))"
86195c267ffffff,3 - high,3 - high,2 - medium,3 - high,2 - medium,"POLYGON ((430205.2782042669 259233.3125143547, 426938.40468174434 258236.19712166348, 426413.7013499695 254741.5363300164, 429157.09745448316 252244.706220395, 432423.8792924571 253243.33135467506, 432947.3573921035 256737.27717943228, 430205.2782042669 259233.3125143547))"
8619430dfffffff,2 - medium,2 - medium,1 - low,2 - medium,2 - medium,"POLYGON ((501509.3838143329 300880.8885389553, 498278.61713184096 299899.0916004873, 497770.1628605548 296432.4953160067, 500493.69597320474 293948.3881334294, 503724.38286233746 294931.68671997363, 504231.6171039414 298397.5911434965, 501509.3838143329 300880.8885389553))"
8619593b7ffffff,1 - low,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((438935.575022064 87437.99628700959, 435649.3637347439 86394.9837062216, 435122.30654099886 82848.16016729834, 437882.6141531777 80345.13523221115, 441168.6578195181 81389.6337227152, 441694.5621679062 84935.67162773773, 438935.575022064 87437.99628700959))"
86195c29fffffff,2 - medium,3 - high,3 - high,3 - high,2 - medium,"POLYGON ((396311.7507730682 262245.5181415097, 393031.0722367202 261247.3390055765, 392499.3032774906 257746.86337258056, 395249.4499332069 255245.28361890744, 398530.04085001576 256244.9786915469, 399060.57341748313 259744.73790422722, 396311.7507730682 262245.5181415097))"
86194289fffffff,2 - medium,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((444763.76882973016 438791.7214902545, 441529.6260520682 437844.8151686997, 441012.8386190287 434414.384477788, 443731.48307248775 431931.4982877866, 446965.6093504376 432879.9270011099, 447481.10835622187 436309.71976412646, 444763.76882973016 438791.7214902545))"
86195941fffffff,2 - medium,3 - high,3 - high,3 - high,3 - high,"POLYGON ((389840.025897072 115848.41455080896, 386536.9538122148 114810.18208388059, 386000.79429918085 111262.02293287058, 388768.88604633906 108752.874836414, 392071.8059509923 109792.60578682096, 392606.78697094065 113339.98673137848, 389840.025897072 115848.41455080896))"
86195cc8fffffff,3 - high,1 - low,3 - high,2 - medium,3 - high,"POLYGON ((371343.56294998765 344563.7622671726, 368064.2516840436 343586.8179437372, 367528.92538630404 340108.92022783833, 370274.1868928616 337608.65061256924, 373553.4488031585 338587.1232353713, 374087.49925462005 342064.3374658554, 371343.56294998765 344563.7622671726))"
8618740c7ffffff,3 - high,1 - low,3 - high,1 - low,2 - medium,"POLYGON ((204841.32153616397 71377.03668342481, 201456.73100261824 70316.1423136763, 200883.45660878922 66717.10216750161, 203695.9831503661 64179.769927574525, 207080.41163193944 65242.1875676302, 207652.4763314198 68840.4145882371, 204841.32153616397 71377.03668342481))"
86194a9afffffff,1 - low,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((568188.0860864844 165248.09687961527, 564966.7023354437 164233.3332808304, 564467.6477782197 160736.41390011643, 567191.1253128482 158255.00107450044, 570412.367523315 159271.2396049355, 570910.2743967676 162767.41638046916, 568188.0860864844 165248.09687961527))"
861955297ffffff,1 - low,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((358935.9265018045 466300.7495142317, 355669.8737480421 465356.9416595282, 355134.4286161825 461919.3017945215, 357866.36190917983 459426.10232432524, 361132.4193445569 460371.44932015776, 361666.53949930257 463808.4568892666, 358935.9265018045 466300.7495142317))"
86194e92fffffff,3 - high,1 - low,1 - low,3 - high,3 - high,"POLYGON ((619872.2372185164 271014.0387544849, 616687.7980789206 270030.6780716827, 616203.2960019326 266577.9489869754, 618904.4066251515 264109.2758499495, 622088.744140391 265094.1148468453, 622572.0733094258 268546.1489745782, 619872.2372185164 271014.0387544849))"
861951257ffffff,3 - high,3 - high,3 - high,2 - medium,3 - high,"POLYGON ((347226.6099512606 350661.9804252556, 343938.11124411074 349685.4062972701, 343397.6576700041 346204.77652919147, 346146.98890286597 343701.4039074084, 349435.4432446796 344679.5110877316, 349974.61141466885 348159.4581280229, 347226.6099512606 350661.9804252556))"
861940287ffffff,3 - high,1 - low,2 - medium,3 - high,3 - high,"POLYGON ((546897.064683448 380484.1449415944, 543697.4907941497 379526.62939182797, 543201.4573674108 376096.12075996347, 545906.2341005172 373623.783019838, 549105.757032861 374582.7991324151, 549600.5548550542 378012.6526918842, 546897.064683448 380484.1449415944))"
86195d35fffffff,2 - medium,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((501068.4931156235 170912.90865497303, 497819.35582111485 169895.84727220953, 497306.9026107582 166387.15784200758, 500044.75682182435 163896.27606533986, 503293.75920589117 164914.82453654503, 503805.0429570743 168422.76804888138, 501068.4931156235 170912.90865497303))"
861958a5fffffff,3 - high,3 - high,3 - high,3 - high,3 - high,"POLYGON ((411536.6090577467 176525.4646012864, 408250.5493517348 175504.83239493548, 407720.034509785 171979.8546294336, 410476.7775708356 169476.26054501004, 413762.71075164987 170498.39588257414, 414292.02807831846 174022.62252933864, 411536.6090577467 176525.4646012864))"
86195d6a7ffffff,2 - medium,3 - high,2 - medium,3 - high,3 - high,"POLYGON ((435021.4848690077 187172.86726498953, 431746.69987761613 186156.44626206916, 431221.2289151993 182639.55887459428, 433971.7387192596 180139.83755309012, 437246.400258024 181157.75902194483, 437770.67612390616 184673.90169680899, 435021.4848690077 187172.86726498953))"
86195504fffffff,1 - low,3 - high,1 - low,1 - low,1 - low,"POLYGON ((377894.76983446337 488151.65589903924, 374640.125553671 487214.95455095835, 374109.4958209331 483788.9832410329, 376834.8379965136 481300.33509021637, 380089.49409738736 482238.573366445, 380618.79689359467 485663.92310021445, 377894.76983446337 488151.65589903924))"
861943c47ffffff,2 - medium,1 - low,1 - low,2 - medium,1 - low,"POLYGON ((505374.2487497808 348298.7678126417, 502152.09612301755 347330.16127948207, 501645.95358361624 343880.3218127743, 504363.2009796104 341399.7608518734, 507585.29329335457 342369.87261991546, 508090.19919610705 345819.04039788136, 505374.2487497808 348298.7678126417))"
86194e2cfffffff,3 - high,3 - high,1 - low,2 - medium,1 - low,"POLYGON ((595635.2551018023 163895.10843344376, 592425.4159650286 162881.54620421294, 591931.8482537514 159389.7441664207, 594649.2594557374 156912.24555994934, 597858.9548161316 157927.27788825237, 598351.3834035823 161418.33907399199, 595635.2551018023 163895.10843344376))"
8619404b7ffffff,2 - medium,2 - medium,1 - low,3 - high,3 - high,"POLYGON ((487859.00993476826 438331.8076579956, 484643.110695618 437387.072336211, 484135.9518590459 433965.0477614255, 486845.9677444631 431488.3937853669, 490061.84568318224 432434.64390295336, 490567.72971207823 435856.0334506447, 487859.00993476826 438331.8076579956))"
86194e2efffffff,1 - low,3 - high,1 - low,2 - medium,1 - low,"POLYGON ((599335.5545119881 168396.90905001457, 596127.9108840032 167384.76294791006, 595635.2551018023 163895.10843344376, 598351.3834035823 161418.33907399199, 601558.8848932479 162431.95522618142, 602050.4008717265 165920.87103584287, 599335.5545119881 168396.90905001457))"
861943497ffffff,3 - high,1 - low,2 - medium,2 - medium,2 - medium,"POLYGON ((447143.5173058269 330796.0931380534, 443894.07237348746 329819.5005467244, 443374.8304411569 326352.0740814846, 446106.28191357735 323861.92400657194, 449355.6644884168 324840.030451116, 449873.65862889844 328306.7734108748, 447143.5173058269 330796.0931380534))"
861958b17ffffff,2 - medium,3 - high,2 - medium,3 - high,3 - high,"POLYGON ((404229.5789965636 211166.77743507514, 400945.14239656215 210155.1226408037, 400413.89567310543 206639.67053022794, 403168.29991572676 204136.61080443702, 406452.62580567464 205149.77432642947, 406982.65884716524 208664.48918927886, 404229.5789965636 211166.77743507514))"
86195bc77ffffff,3 - high,3 - high,3 - high,2 - medium,2 - medium,"POLYGON ((316758.4997459936 133558.17798534516, 313427.4251327123 132520.52447511986, 312876.94285748847 128963.03349905164, 315658.7422273914 126443.97357644324, 318989.6772148152 127483.14062611823, 319538.9531523316 131039.85443769873, 316758.4997459936 133558.17798534516))"
8619465b7ffffff,3 - high,3 - high,2 - medium,2 - medium,2 - medium,"POLYGON ((420873.6470976256 546083.2134250014, 417646.4843844877 545164.9755700651, 417127.2431307566 541768.8009224872, 419836.49889258586 539291.4581413947, 423063.692503057 540211.2277180983, 423581.600138187 543606.8085648625, 420873.6470976256 546083.2134250014))"
86195820fffffff,2 - medium,2 - medium,3 - high,2 - medium,3 - high,"POLYGON ((380298.9919571486 156720.8948124959, 376997.2648114952 155693.1317727731, 376459.9895383897 152155.6519890756, 379225.6403481428 149646.69763569685, 382527.2342473967 150675.9665386188, 383063.31126891426 154212.68429738094, 380298.9919571486 156720.8948124959))"
861959d57ffffff,2 - medium,2 - medium,2 - medium,3 - high,3 - high,"POLYGON ((430291.5725816647 155486.05056918343, 427010.5669685426 154460.8041055889, 426483.37819309486 150933.02581088137, 429238.3792529783 148431.2526274667, 432519.2478146999 149457.99622884847, 433045.2530458986 152985.01623898058, 430291.5725816647 155486.05056918343))"
86194208fffffff,3 - high,1 - low,3 - high,2 - medium,2 - medium,"POLYGON ((424413.7178186501 406541.12722588266, 421166.00095300743 405584.1912865621, 420643.80183809815 402138.33002627274, 423370.6032662849 399650.0580920779, 426618.2921913831 400608.51788288157, 427139.2083134519 404053.72602131945, 424413.7178186501 406541.12722588266))"
86195ca67ffffff,3 - high,2 - medium,3 - high,2 - medium,3 - high,"POLYGON ((456658.3290768195 290573.05663713306, 453407.06542658224 289585.9668110603, 452888.77016567916 286106.9523207761, 455622.96880002366 283615.727665043, 458874.15208395134 284604.325900433, 459391.2177782252 288082.6406910159, 456658.3290768195 290573.05663713306))"
86195cb07ffffff,3 - high,2 - medium,2 - medium,2 - medium,2 - medium,"POLYGON ((447800.445087119 314432.1561357602, 444548.8873806648 313451.10958273447, 444029.34619678947 309978.29402780044, 446762.6047695732 307487.2156805471, 450014.0930753459 308469.7744793532, 450532.39288921165 311941.8996795212, 447800.445087119 314432.1561357602))"
86197361fffffff,1 - low,3 - high,1 - low,1 - low,1 - low,"POLYGON ((372698.0803699339 574644.888507242, 369455.24985345185 573732.1843762099, 368925.5050706901 570337.1782268471, 371639.95019052003 567855.461141292, 374882.8296097499 568769.7064369327, 375411.2156964253 572164.1278548191, 372698.0803699339 574644.888507242))"
861942567ffffff,1 - low,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((415601.85063977505 430253.87471684883, 412354.04945415445 429303.0420670175, 411830.5052219426 425863.7830895198, 414556.0572422365 423376.00068469485, 417803.84146530414 424328.3603216632, 418326.091316543 427766.9756323411, 415601.85063977505 430253.87471684883))"
86195c8f7ffffff,3 - high,1 - low,3 - high,2 - medium,3 - high,"POLYGON ((419417.90500465967 332408.84465692576, 416156.99951673765 331431.17780284805, 415631.8131726558 327958.75315865484, 418368.7897660579 325464.68061971845, 421629.6361248375 326443.86630220636, 422153.56570411247 329915.6059894599, 419417.90500465967 332408.84465692576))"
86195eaf7ffffff,3 - high,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((323722.0421176634 280343.53298973414, 320413.63731064484 279346.28514875093, 319866.8469750106 275837.22444358136, 322629.72696530796 273326.1264579972, 325938.0583020374 274324.90478131385, 326483.58381684945 277833.25092762324, 323722.0421176634 280343.53298973414))"
86194ad77ffffff,1 - low,1 - low,1 - low,1 - low,1 - low,"POLYGON ((544387.9290948638 171120.05753338285, 541157.2007310492 170105.51504807203, 540653.5322747515 166605.62626596383, 543381.7497952045 164121.0225152662, 546612.3405690142 165137.04473500396, 547114.8520733919 168636.19132129347, 544387.9290948638 171120.05753338285))"
86195980fffffff,2 - medium,1 - low,2 - medium,3 - high,3 - high,"POLYGON ((464874.4257995692 136074.26300399654, 461605.3817140462 135045.77089246153, 461084.6703306603 131518.96833990767, 463834.16943553044 129021.42162962997, 467103.06580683123 130051.40232366463, 467622.61145924905 133577.44151406997, 464874.4257995692 136074.26300399654))"
861958027ffffff,2 - medium,3 - high,3 - high,2 - medium,2 - medium,"POLYGON ((366332.3166722929 209568.02875498804, 363031.8400126968 208553.8057665187, 362492.7244945671 205030.21598780574, 365255.3102836524 202521.5905964317, 368555.67833277973 203537.32865591836, 369093.5698930646 207060.17738134263, 366332.3166722929 209568.02875498804))"
8619432efffffff,1 - low,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((526705.8169921866 262178.00229519705, 523480.2082530681 261187.0613590519, 522975.85661711486 257712.73627120611, 525698.3120804306 255230.05844832084, 528923.8227460686 256222.49278817087, 529426.9766888187 259696.1118633612, 526705.8169921866 262178.00229519705))"
8618746dfffffff,3 - high,1 - low,3 - high,3 - high,3 - high,"POLYGON ((173095.78284183086 33994.49655632497, 169693.90879135136 32921.68942452822, 169114.36871813916 29305.123600843508, 171937.90460763592 26762.197035171237, 175339.60026067385 27836.526633030997, 175917.9391315604 31452.260758704942, 173095.78284183086 33994.49655632497))"
8619580dfffffff,1 - low,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((353180.5977064673 185352.05598125083, 349871.3903149668 184330.50827539474, 349329.1218168953 180796.5574311568, 352097.2791913304 178284.90697888832, 355406.36806165765 179307.9689896879, 355947.41876959766 182841.16750375292, 353180.5977064673 185352.05598125083))"
86194662fffffff,1 - low,2 - medium,3 - high,2 - medium,2 - medium,"POLYGON ((454675.55386440747 484187.6982276888, 451452.75250884856 483253.93606461317, 450939.50866650266 479841.7524175766, 453650.36831721605 477363.9490810806, 456873.17095342715 478299.23440391454, 457385.11333810654 481710.8001369252, 454675.55386440747 484187.6982276888))"
86195d3b7ffffff,1 - low,3 - high,2 - medium,2 - medium,1 - low,"POLYGON ((476424.4075872412 193336.9673734167, 473167.8906257972 192324.5554877093, 472651.0534072897 188817.95845857158, 475391.9194082406 186324.5123606302, 478648.31273907155 187338.41838744446, 479163.9643720075 190844.27671672724, 476424.4075872412 193336.9673734167))"
861943197ffffff,2 - medium,2 - medium,1 - low,3 - high,3 - high,"POLYGON ((494179.79489116755 335032.4355512687, 490950.911515008 334059.5795461088, 490441.9365877719 330602.9947478866, 493163.08082628244 328119.9443570193, 496391.89937210747 329094.30640878214, 496899.6391832542 332550.21309439687, 494179.79489116755 335032.4355512687))"
86195d017ffffff,2 - medium,3 - high,3 - high,2 - medium,2 - medium,"POLYGON ((467533.391714521 217316.93672963878, 464276.40763000277 216310.51252262387, 463758.39830923494 212809.767190326, 466498.57147064875 210316.17586886464, 469755.4428870621 211324.09864484548, 470272.25448483985 214824.11451012286, 467533.391714521 217316.93672963878))"
861942707ffffff,1 - low,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((416870.67350886407 397731.818009624, 413618.4326931156 396772.03720145504, 413094.33548210555 393321.59071067505, 415823.76183400955 390831.5827218668, 419075.971739841 391792.8880790044, 419598.786889392 395242.6771446874, 416870.67350886407 397731.818009624))"
86195c49fffffff,3 - high,2 - medium,3 - high,3 - high,3 - high,"POLYGON ((338525.27951753204 314820.78912995674, 335227.93984777934 313833.84566459607, 334684.9219191975 310339.28875952703, 337440.5184517562 307832.3743243158, 340737.7987275262 308820.8491262149, 341279.5425612543 312314.70733200037, 338525.27951753204 314820.78912995674))"
86195eb5fffffff,3 - high,2 - medium,3 - high,3 - high,3 - high,"POLYGON ((343540.68009079626 286317.4324750928, 340241.3588587137 285322.9226191919, 339698.89280806587 281819.82086650137, 342457.0100839117 279311.93972674327, 345756.2587964983 280307.97722635703, 346297.46344801167 283810.3685383305, 343540.68009079626 286317.4324750928))"
861942647ffffff,3 - high,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((421920.7822389823 369542.89173304033, 418666.42685932847 368575.5922357542, 418142.7211234711 365116.36888753826, 420874.64148521563 362625.1143429028, 424128.9534241451 363593.9353639717, 424651.3891268481 367052.48968543217, 421920.7822389823 369542.89173304033))"
86194e757ffffff,2 - medium,1 - low,1 - low,2 - medium,1 - low,"POLYGON ((566729.0182697382 198131.29962055176, 563511.5031417345 197125.28653875925, 563013.2911023649 193638.3967939145, 565733.7558708097 191158.24970886, 568951.1432798058 192165.7420867274, 569448.1942979785 195651.9025921882, 566729.0182697382 198131.29962055176))"
86195511fffffff,1 - low,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((366932.2341044469 517688.49333599466, 363677.69043661555 516759.48660216026, 363145.24030803714 513342.1448964013, 365868.6753561334 510854.41978677234, 369123.2446821784 511784.96674369206, 369654.35399403557 515201.6988108645, 366932.2341044469 517688.49333599466))"
